호선명,지하철역,role,lat,lng
8호선,천호(풍납토성),residential,37.53811502961933,127.12448671755027
9호선,가양,other,37.561059211764416,126.8551392041148
9호선,개화,other,37.57853611422455,126.7980002435432
9호선,고속터미널,mixed,37.50483885125289,127.00386634886466
9호선,공항시장,other,37.56598036254146,126.82606972766806
9호선,구반포,other,37.501635855938616,126.98675906170132
9호선,국회의사당,other,37.52883954653318,126.91640577325325
9호선,김포공항,other,37.56202114212759,126.802569596774
9호선,노들,other,37.51247386190163,126.95299177713372
9호선,노량진,residential,37.51392871682386,126.94091693905705
9호선,당산,residential,37.534152057358625,126.90209054950819
9호선,동작(현충원),other,37.5033968337691,126.97630894150379
9호선,등촌,other,37.550980134179746,126.86452524416731
9호선,마곡나루(서울식물원),other,37.5694132,126.8350252
9호선,사평,other,37.504248137170435,127.01518725290568
9호선,샛강,other,37.51735744393207,126.92888100039397
9호선,선유도,other,37.53787469366244,126.89366873088873
9호선,신논현,other,37.50442287334148,127.0241732234991
9호선,신목동,other,37.54416662059385,126.88280274540342
9호선,신반포,other,37.50362791061676,126.99648891745744
9호선,신방화,other,37.567578740235575,126.81662611885304
9호선,양천향교,other,37.56813068964411,126.84128062542766
9호선,여의도,business,37.5216215809446,126.92370972949809
9호선,염창,other,37.546890002077845,126.87439485092973
9호선,증미,other,37.55795543203569,126.86124228864674
9호선,흑석(중앙대입구),other,37.508819496709336,126.96371443607057
9호선2~3단계,둔촌오륜,other,37.51957161359631,127.13802232025043
9호선2~3단계,봉은사,other,37.51422708556162,127.06021670400304
9호선2~3단계,삼성중앙,other,37.51313085910393,127.05363671780682
9호선2~3단계,삼전,other,37.503881,127.089114
9호선2~3단계,석촌,other,37.505248586373185,127.10715206438636
9호선2~3단계,석촌고분,other,37.50247739929096,127.09696045413011
9호선2~3단계,선정릉,other,37.510271982894245,127.04366147841344
9호선2~3단계,송파나루,other,37.5102861806687,127.11221710411675
