시간,역명_cleaned,호선,상하구분,혼잡도,role,stinConsOrdr,left_transfer,left_dist,right_transfer,right_dist
9.5,동대문,1,상선,26.5,other,32,,,,
9.5,동대문,1,하선,40.8,other,32,,,,
10.0,동대문,1,상선,26.3,other,32,,,,
10.0,동대문,1,하선,37.1,other,32,,,,
10.5,동대문,1,상선,29.0,other,32,,,,
10.5,동대문,1,하선,29.9,other,32,,,,
11.0,동대문,1,상선,32.8,other,32,,,,
11.0,동대문,1,하선,29.4,other,32,,,,
11.5,동대문,1,상선,22.6,other,32,,,,
11.5,동대문,1,하선,26.8,other,32,,,,
12.0,동대문,1,상선,30.2,other,32,,,,
12.0,동대문,1,하선,31.1,other,32,,,,
12.5,동대문,1,상선,33.6,other,32,,,,
12.5,동대문,1,하선,35.3,other,32,,,,
13.0,동대문,1,상선,35.2,other,32,,,,
13.0,동대문,1,하선,30.7,other,32,,,,
13.5,동대문,1,상선,28.9,other,32,,,,
13.5,동대문,1,하선,38.3,other,32,,,,
14.0,동대문,1,상선,30.2,other,32,,,,
14.0,동대문,1,하선,26.0,other,32,,,,
14.5,동대문,1,상선,29.4,other,32,,,,
14.5,동대문,1,하선,30.6,other,32,,,,
15.0,동대문,1,상선,37.1,other,32,,,,
15.0,동대문,1,하선,36.3,other,32,,,,
15.5,동대문,1,상선,33.8,other,32,,,,
15.5,동대문,1,하선,43.0,other,32,,,,
16.0,동대문,1,상선,37.3,other,32,,,,
16.0,동대문,1,하선,29.0,other,32,,,,
16.5,동대문,1,상선,37.4,other,32,,,,
16.5,동대문,1,하선,39.0,other,32,,,,
17.0,동대문,1,상선,43.4,other,32,,,,
17.0,동대문,1,하선,37.2,other,32,,,,
17.5,동대문,1,상선,52.7,other,32,,,,
17.5,동대문,1,하선,39.7,other,32,,,,
18.0,동대문,1,상선,87.0,other,32,,,,
18.0,동대문,1,하선,45.0,other,32,,,,
18.5,동대문,1,상선,80.5,other,32,,,,
18.5,동대문,1,하선,29.5,other,32,,,,
19.0,동대문,1,상선,45.8,other,32,,,,
19.0,동대문,1,하선,20.9,other,32,,,,
19.5,동대문,1,상선,34.7,other,32,,,,
19.5,동대문,1,하선,18.6,other,32,,,,
20.0,동대문,1,상선,35.6,other,32,,,,
20.0,동대문,1,하선,15.5,other,32,,,,
20.5,동대문,1,상선,33.5,other,32,,,,
20.5,동대문,1,하선,15.5,other,32,,,,
21.0,동대문,1,상선,40.5,other,32,,,,
21.0,동대문,1,하선,17.4,other,32,,,,
21.5,동대문,1,상선,34.7,other,32,,,,
21.5,동대문,1,하선,13.3,other,32,,,,
22.0,동대문,1,상선,32.6,other,32,,,,
22.0,동대문,1,하선,16.3,other,32,,,,
22.5,동대문,1,상선,26.1,other,32,,,,
22.5,동대문,1,하선,10.4,other,32,,,,
23.0,동대문,1,상선,31.3,other,32,,,,
23.0,동대문,1,하선,8.5,other,32,,,,
23.5,동대문,1,상선,18.0,other,32,,,,
23.5,동대문,1,하선,8.8,other,32,,,,
0.0,동대문,1,상선,13.6,other,32,,,,
0.0,동대문,1,하선,3.8,other,32,,,,
0.5,동대문,1,상선,3.5,other,32,,,,
0.5,동대문,1,하선,0.7,other,32,,,,
5.5,종로5가,1,상선,5.1,other,33,동대문,1.0,종로3가,1.0
5.5,종로5가,1,하선,13.0,other,33,동대문,1.0,종로3가,1.0
6.0,종로5가,1,상선,11.2,other,33,동대문,1.0,종로3가,1.0
6.0,종로5가,1,하선,16.3,other,33,동대문,1.0,종로3가,1.0
6.5,종로5가,1,상선,8.5,other,33,동대문,1.0,종로3가,1.0
6.5,종로5가,1,하선,21.2,other,33,동대문,1.0,종로3가,1.0
7.0,종로5가,1,상선,14.6,other,33,동대문,1.0,종로3가,1.0
7.0,종로5가,1,하선,42.1,other,33,동대문,1.0,종로3가,1.0
7.5,종로5가,1,상선,23.1,other,33,동대문,1.0,종로3가,1.0
7.5,종로5가,1,하선,65.0,other,33,동대문,1.0,종로3가,1.0
8.0,종로5가,1,상선,32.8,other,33,동대문,1.0,종로3가,1.0
8.0,종로5가,1,하선,75.7,other,33,동대문,1.0,종로3가,1.0
8.5,종로5가,1,상선,22.2,other,33,동대문,1.0,종로3가,1.0
8.5,종로5가,1,하선,77.4,other,33,동대문,1.0,종로3가,1.0
9.0,종로5가,1,상선,28.8,other,33,동대문,1.0,종로3가,1.0
9.0,종로5가,1,하선,66.2,other,33,동대문,1.0,종로3가,1.0
9.5,종로5가,1,상선,28.1,other,33,동대문,1.0,종로3가,1.0
9.5,종로5가,1,하선,37.9,other,33,동대문,1.0,종로3가,1.0
10.0,종로5가,1,상선,27.3,other,33,동대문,1.0,종로3가,1.0
10.0,종로5가,1,하선,35.1,other,33,동대문,1.0,종로3가,1.0
10.5,종로5가,1,상선,29.7,other,33,동대문,1.0,종로3가,1.0
10.5,종로5가,1,하선,29.1,other,33,동대문,1.0,종로3가,1.0
11.0,종로5가,1,상선,30.3,other,33,동대문,1.0,종로3가,1.0
11.0,종로5가,1,하선,28.7,other,33,동대문,1.0,종로3가,1.0
11.5,종로5가,1,상선,24.1,other,33,동대문,1.0,종로3가,1.0
11.5,종로5가,1,하선,27.7,other,33,동대문,1.0,종로3가,1.0
12.0,종로5가,1,상선,30.2,other,33,동대문,1.0,종로3가,1.0
12.0,종로5가,1,하선,35.9,other,33,동대문,1.0,종로3가,1.0
12.5,종로5가,1,상선,33.5,other,33,동대문,1.0,종로3가,1.0
12.5,종로5가,1,하선,33.1,other,33,동대문,1.0,종로3가,1.0
13.0,종로5가,1,상선,34.6,other,33,동대문,1.0,종로3가,1.0
13.0,종로5가,1,하선,30.8,other,33,동대문,1.0,종로3가,1.0
13.5,종로5가,1,상선,26.3,other,33,동대문,1.0,종로3가,1.0
13.5,종로5가,1,하선,40.3,other,33,동대문,1.0,종로3가,1.0
14.0,종로5가,1,상선,32.6,other,33,동대문,1.0,종로3가,1.0
14.0,종로5가,1,하선,31.2,other,33,동대문,1.0,종로3가,1.0
14.5,종로5가,1,상선,28.4,other,33,동대문,1.0,종로3가,1.0
14.5,종로5가,1,하선,35.1,other,33,동대문,1.0,종로3가,1.0
15.0,종로5가,1,상선,36.5,other,33,동대문,1.0,종로3가,1.0
15.0,종로5가,1,하선,40.7,other,33,동대문,1.0,종로3가,1.0
15.5,종로5가,1,상선,32.9,other,33,동대문,1.0,종로3가,1.0
15.5,종로5가,1,하선,53.3,other,33,동대문,1.0,종로3가,1.0
16.0,종로5가,1,상선,33.9,other,33,동대문,1.0,종로3가,1.0
